,Article,Question,Obj. 1,Obj. 2,Obj. 3,Obj. 4,Obj. 5,Obj. 6,Obj. 7,Obj. 8,Obj. 9,Obj. 10,Obj. 12,Obj. 13,Obj. 14,Obj. 15,Obj. 16,Sed Contra,Respondeo,Reply Obj. 1,Reply Obj. 2,Reply Obj. 3,Reply Obj. 4,Reply Obj. 5,Reply Obj. 6,Reply Obj. 7,Reply Obj. 8,Reply Obj. 9,Reply Obj. 10,Reply Obj. 11,Reply Obj. 12,Reply Obj. 13,Reply Obj. 14,Reply Obj. 15,Reply Obj. 16
0,"[I, Q. 1, Art. 1]
","Whether, besides Philosophy, any Further Doctrine Is Required?
"," It seems that, besides philosophical science, we have no
 need of any further knowledge. For man should not seek to know what is
 above reason: ""Seek not the things that are too high for thee""
 (Ecclus. 3:22). But whatever is not above reason is fully treated of
 in philosophical science. Therefore any other knowledge besides
 philosophical science is superfluous.
"," Further, knowledge can be concerned only with being, for
 nothing can be known, save what is true; and all that is, is true. But
 everything that is, is treated of in philosophical science--even God
 Himself; so that there is a part of philosophy called theology, or the
 divine science, as Aristotle has proved (Metaph. vi). Therefore,
 besides philosophical science, there is no need of any further
 knowledge.
",,,,,,,,,,,,,,,," Although those things which are beyond man's
 knowledge may not be sought for by man through his reason,
 nevertheless, once they are revealed by God, they must be accepted by
 faith. Hence the sacred text continues, ""For many things are shown to
 thee above the understanding of man"" (Ecclus. 3:25). And in this, the
 sacred science consists.
"," Sciences are differentiated according to the
 various means through which knowledge is obtained. For the astronomer
 and the physicist both may prove the same conclusion: that the earth,
 for instance, is round: the astronomer by means of mathematics (i.e.
 abstracting from matter), but the physicist by means of matter itself.
 Hence there is no reason why those things which may be learned from
 philosophical science, so far as they can be known by natural reason,
 may not also be taught us by another science so far as they fall
 within revelation. Hence theology included in sacred doctrine differs
 in kind from that theology which is part of philosophy.
",,,,,,,,,,,,,,
1,"[I, Q. 1, Art. 2]
","Whether Sacred Doctrine Is a Science?
"," It seems that sacred doctrine is not a science. For every
 science proceeds from self-evident principles. But sacred doctrine
 proceeds from articles of faith which are not self-evident, since
 their truth is not admitted by all: ""For all men have not faith"" (2
 Thess. 3:2). Therefore sacred doctrine is not a science.
"," Further, no science deals with individual facts. But this
 sacred science treats of individual facts, such as the deeds of
 Abraham, Isaac and Jacob and such like. Therefore sacred doctrine is
 not a science.
",,,,,,,,,,,,,,,," The principles of any science are either in
 themselves self-evident, or reducible to the conclusions of a higher
 science; and such, as we have said, are the principles of sacred
 doctrine.
"," Individual facts are treated of in sacred
 doctrine, not because it is concerned with them principally, but they
 are introduced rather both as examples to be followed in our lives (as
 in moral sciences) and in order to establish the authority of those
 men through whom the divine revelation, on which this sacred scripture
 or doctrine is based, has come down to us.
",,,,,,,,,,,,,,
2,"[I, Q. 1, Art. 3]
","Whether Sacred Doctrine Is One Science?
"," It seems that sacred doctrine is not one science; for
 according to the Philosopher (Poster. i) ""that science is one which
 treats only of one class of subjects."" But the creator and the
 creature, both of whom are treated of in sacred doctrine, cannot be
 grouped together under one class of subjects. Therefore sacred
 doctrine is not one science.
"," Further, in sacred doctrine we treat of angels, corporeal
 creatures and human morality. But these belong to separate
 philosophical sciences. Therefore sacred doctrine cannot be one
 science.
",,,,,,,,,,,,,,,," Sacred doctrine does not treat of God and
 creatures equally, but of God primarily, and of creatures only so far
 as they are referable to God as their beginning or end. Hence the
 unity of this science is not impaired.
"," Nothing prevents inferior faculties or habits
 from being differentiated by something which falls under a higher
 faculty or habit as well; because the higher faculty or habit regards
 the object in its more universal formality, as the object of the
 common sense is whatever affects the senses, including, therefore,
 whatever is visible or audible. Hence the common sense, although one
 faculty, extends to all the objects of the five senses. Similarly,
 objects which are the subject-matter of different philosophical
 sciences can yet be treated of by this one single sacred science under
 one aspect precisely so far as they can be included in revelation. So
 that in this way, sacred doctrine bears, as it were, the stamp of the
 divine science which is one and simple, yet extends to everything.
",,,,,,,,,,,,,,
3,"[I, Q. 1, Art. 4]
","Whether Sacred Doctrine Is a Practical Science?
"," It seems that sacred doctrine is a practical science; for
 a practical science is that which ends in action according to the
 Philosopher (Metaph. ii). But sacred doctrine is ordained to action:
 ""Be ye doers of the word, and not hearers only"" (James 1:22).
 Therefore sacred doctrine is a practical science.
"," Further, sacred doctrine is divided into the Old and the
 New Law. But law implies a moral science which is a practical science.
 Therefore sacred doctrine is a practical science.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[I, Q. 1, Art. 5]
","Whether Sacred Doctrine Is Nobler than Other Sciences?
"," It seems that sacred doctrine is not nobler than other
 sciences; for the nobility of a science depends on the certitude it
 establishes. But other sciences, the principles of which cannot be
 doubted, seem to be more certain than sacred doctrine; for its
 principles--namely, articles of faith--can be doubted. Therefore
 other sciences seem to be nobler.
"," Further, it is the sign of a lower science to depend upon
 a higher; as music depends on arithmetic. But sacred doctrine does in
 a sense depend upon philosophical sciences; for Jerome observes, in
 his Epistle to Magnus, that ""the ancient doctors so enriched their
 books with the ideas and phrases of the philosophers, that thou
 knowest not what more to admire in them, their profane erudition or
 their scriptural learning."" Therefore sacred doctrine is inferior to
 other sciences.
",,,,,,,,,,,,,,,," It may well happen that what is in itself the
 more certain may seem to us the less certain on account of the
 weakness of our intelligence, ""which is dazzled by the clearest
 objects of nature; as the owl is dazzled by the light of the sun""
 (Metaph. ii, lect. i). Hence the fact that some happen to doubt about
 articles of faith is not due to the uncertain nature of the truths,
 but to the weakness of human intelligence; yet the slenderest
 knowledge that may be obtained of the highest things is more desirable
 than the most certain knowledge obtained of lesser things, as is said
 in de Animalibus xi.
"," This science can in a sense depend upon the
 philosophical sciences, not as though it stood in need of them, but
 only in order to make its teaching clearer. For it accepts its
 principles not from other sciences, but immediately from God, by
 revelation. Therefore it does not depend upon other sciences as upon
 the higher, but makes use of them as of the lesser, and as
 handmaidens: even so the master sciences make use of the sciences that
 supply their materials, as political of military science. That it thus
 uses them is not due to its own defect or insufficiency, but to the
 defect of our intelligence, which is more easily led by what is known
 through natural reason (from which proceed the other sciences) to that
 which is above reason, such as are the teachings of this science.
",,,,,,,,,,,,,,
5,"[I, Q. 1, Art. 6]
","Whether This Doctrine Is the Same as Wisdom?
"," It seems that this doctrine is not the same as wisdom.
 For no doctrine which borrows its principles is worthy of the name of
 wisdom; seeing that the wise man directs, and is not directed (Metaph.
 i). But this doctrine borrows its principles. Therefore this science
 is not wisdom.
"," Further, it is a part of wisdom to prove the principles
 of other sciences. Hence it is called the chief of sciences, as is
 clear in Ethic. vi. But this doctrine does not prove the principles of
 other sciences. Therefore it is not the same as wisdom.
"," Further, this doctrine is acquired by study, whereas
 wisdom is acquired by God's inspiration; so that it is numbered among
 the gifts of the Holy Spirit (Isa. 11:2). Therefore this doctrine is
 not the same as wisdom.
",,,,,,,,,,,,,,," Sacred doctrine derives its principles not from
 any human knowledge, but from the divine knowledge, through which, as
 through the highest wisdom, all our knowledge is set in order.
"," The principles of other sciences either are
 evident and cannot be proved, or are proved by natural reason through
 some other science. But the knowledge proper to this science comes
 through revelation and not through natural reason. Therefore it has no
 concern to prove the principles of other sciences, but only to judge
 of them. Whatsoever is found in other sciences contrary to any truth
 of this science must be condemned as false: ""Destroying counsels and
 every height that exalteth itself against the knowledge of God"" (2
 Cor. 10:4, 5).
"," Since judgment appertains to wisdom, the twofold
 manner of judging produces a twofold wisdom. A man may judge in one
 way by inclination, as whoever has the habit of a virtue judges
 rightly of what concerns that virtue by his very inclination towards
 it. Hence it is the virtuous man, as we read, who is the measure and
 rule of human acts. In another way, by knowledge, just as a man
 learned in moral science might be able to judge rightly about virtuous
 acts, though he had not the virtue. The first manner of judging divine
 things belongs to that wisdom which is set down among the gifts of the
 Holy Ghost: ""The spiritual man judgeth all things"" (1 Cor. 2:15). And
 Dionysius says (Div. Nom. ii): ""Hierotheus is taught not by mere
 learning, but by experience of divine things."" The second manner of
 judging belongs to this doctrine which is acquired by study, though
 its principles are obtained by revelation.
",,,,,,,,,,,,,
6,"[I, Q. 1, Art. 7]
","Whether God Is the Object of This Science?
"," It seems that God is not the object of this science. For
 in every science, the nature of its object is presupposed. But this
 science cannot presuppose the essence of God, for Damascene says (De
 Fide Orth. i, iv): ""It is impossible to define the essence of God.""
 Therefore God is not the object of this science.
"," Further, whatever conclusions are reached in any science
 must be comprehended under the object of the science. But in Holy Writ
 we reach conclusions not only concerning God, but concerning many
 other things, such as creatures and human morality. Therefore God is
 not the object of this science.
",,,,,,,,,,,,,,,," Although we cannot know in what consists the
 essence of God, nevertheless in this science we make use of His
 effects, either of nature or of grace, in place of a definition, in
 regard to whatever is treated of in this science concerning God; even
 as in some philosophical sciences we demonstrate something about a
 cause from its effect, by taking the effect in place of a definition
 of the cause.
"," Whatever other conclusions are reached in this
 sacred science are comprehended under God, not as parts or species or
 accidents but as in some way related to Him.
",,,,,,,,,,,,,,
7,"[I, Q. 1, Art. 8]
","Whether Sacred Doctrine is a Matter of Argument?
"," It seems this doctrine is not a matter of argument. For
 Ambrose says (De Fide 1): ""Put arguments aside where faith is sought.""
 But in this doctrine, faith especially is sought: ""But these things
 are written that you may believe"" (John 20:31). Therefore sacred
 doctrine is not a matter of argument.
"," Further, if it is a matter of argument, the argument is
 either from authority or from reason. If it is from authority, it
 seems unbefitting its dignity, for the proof from authority is the
 weakest form of proof. But if it is from reason, this is unbefitting
 its end, because, according to Gregory (Hom. 26), ""faith has no merit
 in those things of which human reason brings its own experience.""
 Therefore sacred doctrine is not a matter of argument.
",,,,,,,,,,,,,,,," Although arguments from human reason cannot
 avail to prove what must be received on faith, nevertheless, this
 doctrine argues from articles of faith to other truths.
"," This doctrine is especially based upon arguments
 from authority, inasmuch as its principles are obtained by revelation:
 thus we ought to believe on the authority of those to whom the
 revelation has been made. Nor does this take away from the dignity of
 this doctrine, for although the argument from authority based on human
 reason is the weakest, yet the argument from authority based on divine
 revelation is the strongest. But sacred doctrine makes use even of
 human reason, not, indeed, to prove faith (for thereby the merit of
 faith would come to an end), but to make clear other things that are
 put forward in this doctrine. Since therefore grace does not destroy
 nature but perfects it, natural reason should minister to faith as the
 natural bent of the will ministers to charity. Hence the Apostle says:
 ""Bringing into captivity every understanding unto the obedience of
 Christ"" (2 Cor. 10:5). Hence sacred doctrine makes use also of the
 authority of philosophers in those questions in which they were able
 to know the truth by natural reason, as Paul quotes a saying of
 Aratus: ""As some also of your own poets said: For we are also His
 offspring"" (Acts 17:28). Nevertheless, sacred doctrine makes use of
 these authorities as extrinsic and probable arguments; but properly
 uses the authority of the canonical Scriptures as an incontrovertible
 proof, and the authority of the doctors of the Church as one that may
 properly be used, yet merely as probable. For our faith rests upon the
 revelation made to the apostles and prophets who wrote the canonical
 books, and not on the revelations (if any such there are) made to
 other doctors. Hence Augustine says (Epis. ad Hieron. xix, 1): ""Only
 those books of Scripture which are called canonical have I learned to
 hold in such honor as to believe their authors have not erred in any
 way in writing them. But other authors I so read as not to deem
 everything in their works to be true, merely on account of their
 having so thought and written, whatever may have been their holiness
 and learning.""
",,,,,,,,,,,,,,
8,"[I, Q. 1, Art. 9]
","Whether Holy Scripture Should Use Metaphors?
"," It seems that Holy Scripture should not use metaphors.
 For that which is proper to the lowest science seems not to befit this
 science, which holds the highest place of all. But to proceed by the
 aid of various similitudes and figures is proper to poetry, the least
 of all the sciences. Therefore it is not fitting that this science
 should make use of such similitudes.
"," Further, this doctrine seems to be intended to make truth
 clear. Hence a reward is held out to those who manifest it: ""They that
 explain me shall have life everlasting"" (Ecclus. 24:31). But by such
 similitudes truth is obscured. Therefore, to put forward divine truths
 by likening them to corporeal things does not befit this science.
"," Further, the higher creatures are, the nearer they
 approach to the divine likeness. If therefore any creature be taken to
 represent God, this representation ought chiefly to be taken from the
 higher creatures, and not from the lower; yet this is often found in
 Scriptures.
",,,,,,,,,,,,,,," Poetry makes use of metaphors to produce a
 representation, for it is natural to man to be pleased with
 representations. But sacred doctrine makes use of metaphors as both
 necessary and useful.
"," The ray of divine revelation is not extinguished
 by the sensible imagery wherewith it is veiled, as Dionysius says
 (Coel. Hier. i); and its truth so far remains that it does not allow
 the minds of those to whom the revelation has been made, to rest in
 the metaphors, but raises them to the knowledge of truths; and through
 those to whom the revelation has been made others also may receive
 instruction in these matters. Hence those things that are taught
 metaphorically in one part of Scripture, in other parts are taught
 more openly. The very hiding of truth in figures is useful for the
 exercise of thoughtful minds and as a defense against the ridicule of
 the impious, according to the words ""Give not that which is holy to
 dogs"" (Matt. 7:6).
"," As Dionysius says, (Coel. Hier. i) it is more
 fitting that divine truths should be expounded under the figure of
 less noble than of nobler bodies, and this for three reasons. Firstly,
 because thereby men's minds are the better preserved from error. For
 then it is clear that these things are not literal descriptions of
 divine truths, which might have been open to doubt had they been
 expressed under the figure of nobler bodies, especially for those who
 could think of nothing nobler than bodies. Secondly, because this is
 more befitting the knowledge of God that we have in this life. For
 what He is not is clearer to us than what He is. Therefore similitudes
 drawn from things farthest away from God form within us a truer
 estimate that God is above whatsoever we may say or think of Him.
 Thirdly, because thereby divine truths are the better hidden from the
 unworthy.
",,,,,,,,,,,,,
9,"[I, Q. 1, Art. 10]
","Whether in Holy Scripture a Word may have Several Senses?
"," It seems that in Holy Writ a word cannot have several
 senses, historical or literal, allegorical, tropological or moral, and
 anagogical. For many different senses in one text produce confusion
 and deception and destroy all force of argument. Hence no argument,
 but only fallacies, can be deduced from a multiplicity of
 propositions. But Holy Writ ought to be able to state the truth
 without any fallacy. Therefore in it there cannot be several senses to
 a word.
"," Further, Augustine says (De util. cred. iii) that ""the
 Old Testament has a fourfold division as to history, etiology, analogy
 and allegory."" Now these four seem altogether different from the four
 divisions mentioned in the first objection. Therefore it does not seem
 fitting to explain the same word of Holy Writ according to the four
 different senses mentioned above.
"," Further, besides these senses, there is the parabolical,
 which is not one of these four.
",,,,,,,,,,,,,,," The multiplicity of these senses does not
 produce equivocation or any other kind of multiplicity, seeing that
 these senses are not multiplied because one word signifies several
 things, but because the things signified by the words can be
 themselves types of other things. Thus in Holy Writ no confusion
 results, for all the senses are founded on one--the literal--from
 which alone can any argument be drawn, and not from those intended in
 allegory, as Augustine says (Epis. 48). Nevertheless, nothing of Holy
 Scripture perishes on account of this, since nothing necessary to
 faith is contained under the spiritual sense which is not elsewhere
 put forward by the Scripture in its literal sense.
"," These three--history, etiology, analogy--are
 grouped under the literal sense. For it is called history, as
 Augustine expounds (Epis. 48), whenever anything is simply related; it
 is called etiology when its cause is assigned, as when Our Lord gave
 the reason why Moses allowed the putting away of wives--namely, on
 account of the hardness of men's hearts; it is called analogy whenever
 the truth of one text of Scripture is shown not to contradict the
 truth of another. Of these four, allegory alone stands for the three
 spiritual senses. Thus Hugh of St. Victor (Sacram. iv, 4 Prolog.)
 includes the anagogical under the allegorical sense, laying down three
 senses only--the historical, the allegorical, and the tropological.
"," The parabolical sense is contained in the
 literal, for by words things are signified properly and figuratively.
 Nor is the figure itself, but that which is figured, the literal
 sense. When Scripture speaks of God's arm, the literal sense is not
 that God has such a member, but only what is signified by this member,
 namely operative power. Hence it is plain that nothing false can ever
 underlie the literal sense of Holy Writ.
",,,,,,,,,,,,,
